UC_Schritt;Schritt_Text;RA_Klasse;RA_Typ;Stereotype;Beschreibung;Control_Flow_Source;Control_Flow_Type;Control_Flow_Rule;Data_Flow_Entity;Data_Flow_Type;Data_Flow_Description
B1;(trigger) Launch window opens at scheduled time;Timer;Actor;<<actor>>;Time-based trigger;;;;;;
B1;(trigger) Launch window opens at scheduled time;TimeManager;Controller;<<controller>>;Controls opens operation in B1;;;;;;
B1;(trigger) Launch window opens at scheduled time;ScheduledTime;Entity;<<entity>>;Domain entity: scheduledtime;;;;;;
B2a;The system validates all subsystems against launch criteria;SubsystemsManager;Controller;<<controller>>;Controls validates operation in B2a;;;;;;
B2a;The system validates all subsystems against launch criteria;Subsystems;Entity;<<entity>>;Domain entity: subsystems;;;;;;
B2b;The Mission Control calculates optimal trajectory for target orbit;OptimaltrajectoryManager;Controller;<<controller>>;Controls calculates operation in B2b;;;;;;
B2b;The Mission Control calculates optimal trajectory for target orbit;OptimalTrajectory;Entity;<<entity>>;Domain entity: optimaltrajectory;;;;;;
B2b;The Mission Control calculates optimal trajectory for target orbit;TargetOrbit;Entity;<<entity>>;Domain entity: targetorbit;;;;;;
B3;The Mission Control send trajectory to the system;TrajectoryManager;Controller;<<controller>>;Controls send operation in B3;;;;;;
B3;The Mission Control send trajectory to the system;Trajectory;Entity;<<entity>>;Domain entity: trajectory;;;;;;
B3;The Mission Control send trajectory to the system;MissionControlOutputBoundary;Boundary;<<boundary>>;Boundary for Mission Control to send trajectory data to system;;;;;;
B4a;The Launch Sequencer generates launch sequence with timing parameters;LaunchsequenceManager;Controller;<<controller>>;Controls generates operation in B4a;;;;;;
B4a;The Launch Sequencer generates launch sequence with timing parameters;LaunchSequence;Entity;<<entity>>;Domain entity: launchsequence;;;;;;
B4a;The Launch Sequencer generates launch sequence with timing parameters;TimingParameters;Entity;<<entity>>;Domain entity: timingparameters;;;;;;
B4b;The system loads flight program into guidance computer;FlightprogramManager;Controller;<<controller>>;Controls loads operation in B4b;;;;;;
B4b;The system loads flight program into guidance computer;FlightProgram;Entity;<<entity>>;Domain entity: flightprogram;;;;;;
B4b;The system loads flight program into guidance computer;GuidanceComputer;Entity;<<entity>>;Domain entity: guidancecomputer;;;;;;
B5a;The Launch Sequencer initiates propellant flow to combustion chamber;PropellantflowManager;Controller;<<controller>>;Controls initiates operation in B5a;;;;;;
B5a;The Launch Sequencer initiates propellant flow to combustion chamber;CombustionChamber;Entity;<<entity>>;Domain entity: combustionchamber;;;;;;
B5a;The Launch Sequencer initiates propellant flow to combustion chamber;PropellantFlow;Entity;<<entity>>;Domain entity: propellantflow;;;;;;
B5b;The Launch Sequencer ignites main engines with thrust vector control;MainenginesManager;Controller;<<controller>>;Controls ignites operation in B5b;;;;;;
B5b;The Launch Sequencer ignites main engines with thrust vector control;MainEngines;Entity;<<entity>>;Domain entity: mainengines;;;;;;
B5c;The system monitors flight telemetry against planned trajectory;FlighttelemetryManager;Controller;<<controller>>;Controls monitors operation in B5c;;;;;;
B5c;The system monitors flight telemetry against planned trajectory;FlightTelemetry;Entity;<<entity>>;Domain entity: flighttelemetry;;;;;;
B5c;The system monitors flight telemetry against planned trajectory;PlannedTrajectory;Entity;<<entity>>;Domain entity: plannedtrajectory;;;;;;
B6a;The system separates first stage at calculated altitude;FirststageManager;Controller;<<controller>>;Controls separates operation in B6a;;;;;;
B6a;The system separates first stage at calculated altitude;CalculatedAltitude;Entity;<<entity>>;Domain entity: calculatedaltitude;;;;;;
B6a;The system separates first stage at calculated altitude;FirstStage;Entity;<<entity>>;Domain entity: firststage;;;;;;
