UC_Schritt;Schritt_Text;RA_Klasse;RA_Typ;Stereotype;Beschreibung;Control_Flow_Source;Control_Flow_Type;Control_Flow_Rule;Data_Flow_Entity;Data_Flow_Type;Data_Flow_Description
;- Coffee beans are available in the system;CoffeeBeans;Entity;<<entity>>;Precondition entity: coffee_beans;;;;;;
;- Coffee beans are available in the system;CoffeeBeansSupplyBoundary;Boundary;<<boundary>>;Boundary for CoffeeBeans supply monitoring and alerts;;;;;;
;- Coffee beans are available in the system;Coffee;Entity;<<entity>>;Precondition entity: coffee;;;;;;
;- Coffee beans are available in the system;CoffeeSupplyBoundary;Boundary;<<boundary>>;Boundary for Coffee supply monitoring and alerts;;;;;;
;- Water is available in the system;Water;Entity;<<entity>>;Precondition entity: water;;;;;;
;- Water is available in the system;WaterSupplyBoundary;Boundary;<<boundary>>;Boundary for Water supply monitoring and alerts;;;;;;
;- Milk is available in the system;Milk;Entity;<<entity>>;Precondition entity: milk;;;;;;
;- Milk is available in the system;MilkSupplyBoundary;Boundary;<<boundary>>;Boundary for Milk supply monitoring and alerts;;;;;;
;- Sugar is available in the system;Sugar;Entity;<<entity>>;Precondition entity: sugar;;;;;;
;- Sugar is available in the system;SugarSupplyBoundary;Boundary;<<boundary>>;Boundary for Sugar supply monitoring and alerts;;;;;;
;Actors: User;User;Actor;<<actor>>;System actor: User;;;;;;
B1;B1 (trigger) System clock reaches the user defined time of 7:00h (Radio clock);TimeManager;Controller;<<controller>>;Manages time operations in B1;;;;Time;provide;TimeManager provides Time as result
B1;B1 (trigger) System clock reaches the user defined time of 7:00h (Radio clock);Time;Entity;<<entity>>;Domain entity: time;;;;;;
P1_START;Parallel flow distribution for B2a;P1_START;ControlFlowNode;<<distribution>>;Distribution node for parallel steps B2a;;;;;;
B2a;B2a The system activates the water heater;WaterLiquidManager;Controller;<<controller>>;Manages waterliquid operations in B2a;;;;HotWater;provide;WaterLiquidManager provides HotWater as result
B2b;B2b The system prepares filter;FilterManager;Controller;<<controller>>;Manages filter operations in B2b;;;;FilteredLiquid;provide;FilterManager provides FilteredLiquid as result
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;CoffeeSolidManager;Controller;<<controller>>;Manages coffeesolid operations in B2c;;;;UserDefinedGrindingDegree;use;CoffeeSolidManager uses UserDefinedGrindingDegree as input
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;CoffeeSolidManager;Controller;<<controller>>;Manages coffeesolid operations in B2c;;;;Filter;provide;CoffeeSolidManager provides output to Filter
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;CoffeeSolidManager;Controller;<<controller>>;Manages coffeesolid operations in B2c;;;;UserDefinedAmount;provide;CoffeeSolidManager provides UserDefinedAmount as result
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;UserDefinedAmount;Entity;<<entity>>;Domain entity: userdefinedamount;;;;;;
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;UserDefinedGrindingDegree;Entity;<<entity>>;Domain entity: userdefinedgrindingdegree;;;;;;
B2c;B2c The system grinds the user defined amount of coffe beens with the user defined grinding degree directly into the filter;CoffeeBeans;Entity;<<entity>>;Domain entity: coffeebeans;;;;;;
B2d;B2d The system retrieves cup from storage container and places it under the filter;CupManager;Controller;<<controller>>;Manages cup operations in B2d;;;;StorageContainer;use;CupManager uses StorageContainer as input
B2d;B2d The system retrieves cup from storage container and places it under the filter;CupManager;Controller;<<controller>>;Manages cup operations in B2d;;;;Cup;provide;CupManager provides Cup as result
B2d;B2d The system retrieves cup from storage container and places it under the filter;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
B2d;B2d The system retrieves cup from storage container and places it under the filter;StorageContainer;Entity;<<entity>>;Domain entity: storagecontainer;;;;;;
P1_END;Parallel flow merge for B2a;P1_END;ControlFlowNode;<<merge>>;Merge node for parallel steps B2a;;;;;;
P2_START;Parallel flow distribution for B3a;P2_START;ControlFlowNode;<<distribution>>;Distribution node for parallel steps B3a;;;;;;
B3a;B3a The system begins brewing coffee with the defined amount of water into the cup;CoffeeLiquidManager;Controller;<<controller>>;Manages coffeeliquid operations in B3a;;;;Coffee;provide;CoffeeLiquidManager provides Coffee as result
B3a;B3a The system begins brewing coffee with the defined amount of water into the cup;Coffee;Entity;<<entity>>;Domain entity: coffee;;;;;;
B3a;B3a The system begins brewing coffee with the defined amount of water into the cup;DefinedAmount;Entity;<<entity>>;Domain entity: definedamount;;;;;;
B3b;B3b The system adds milk to the cup;MilkLiquidManager;Controller;<<controller>>;Manages milkliquid operations in B3b;;;;Cup;provide;MilkLiquidManager provides output to Cup
B3b;B3b The system adds milk to the cup;MilkLiquidManager;Controller;<<controller>>;Manages milkliquid operations in B3b;;;;Milk;provide;MilkLiquidManager provides Milk as result
B3b;B3b The system adds milk to the cup;Milk;Entity;<<entity>>;Domain entity: milk;;;;;;
B3b;B3b The system adds milk to the cup;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
