UC_Schritt;Schritt_Text;RA_Klasse;RA_Typ;Stereotype;Beschreibung;Control_Flow_Source;Control_Flow_Type;Control_Flow_Rule;Data_Flow_Entity;Data_Flow_Type;Data_Flow_Description
;- Coffee beans are available in the system;CoffeeBeans;Entity;<<entity>>;Precondition entity: coffeebeans;;;;;;
;- Coffee beans are available in the system;CoffeeBeansSupplyBoundary;Boundary;<<boundary>>;Boundary for CoffeeBeans supply monitoring and alerts;;;;;;
;- Water is available in the system;Water;Entity;<<entity>>;Precondition entity: water;;;;;;
;- Water is available in the system;WaterSupplyBoundary;Boundary;<<boundary>>;Boundary for Water supply monitoring and alerts;;;;;;
;- Milk is available in the system;Milk;Entity;<<entity>>;Precondition entity: milk;;;;;;
;- Milk is available in the system;MilkSupplyBoundary;Boundary;<<boundary>>;Boundary for Milk supply monitoring and alerts;;;;;;
;Actors: User;User;Actor;<<actor>>;System actor: User;;;;;;
B1;B1 (trigger) System clock reaches set time of 7:00h (Radio clock);ReachManager;Controller;<<controller>>;Manages reach function;;;;;;
B1;B1 (trigger) System clock reaches set time of 7:00h (Radio clock);Clock;Entity;<<entity>>;Domain entity: clock;;;;;;
P1_START;Parallel flow distribution for B2a;P1_START;ControlFlowNode;<<distribution>>;Distribution node for parallel steps B2a;;;;;;
B2a;B2a The system activates the water heater;WaterHeaterManager;Controller;<<controller>>;Manages activate function;ReachManager;parallel_start;Rule 4 - Parallel Flow;;;
B2a;B2a The system activates the water heater;WaterHeaterManager;Controller;<<controller>>;Manages activate function;;;;WaterHeater;provide;WaterHeaterManager provides WaterHeater as result
B2a;B2a The system activates the water heater;WaterHeater;Entity;<<entity>>;Domain entity: waterheater;;;;;;
B2b;B2b The system prepares filter;FilterManager;Controller;<<controller>>;Manages prepare function;WaterHeaterManager;sequential;Rule 2;;;
B2b;B2b The system prepares filter;FilterManager;Controller;<<controller>>;Manages prepare function;;;;Filter;provide;FilterManager provides Filter as result
B2b;B2b The system prepares filter;Filter;Entity;<<entity>>;Domain entity: filter;;;;;;
B2c;B2c The system grinds the set amount with the set grinding degree directly into the filter;SetAmountManager;Controller;<<controller>>;Manages grind function;FilterManager;sequential;Rule 2;;;
B2c;B2c The system grinds the set amount with the set grinding degree directly into the filter;SetAmountManager;Controller;<<controller>>;Manages grind function;;;;SetGrindingDegree;use;SetAmountManager uses SetGrindingDegree as input
B2c;B2c The system grinds the set amount with the set grinding degree directly into the filter;SetAmountManager;Controller;<<controller>>;Manages grind function;;;;Filter;provide;SetAmountManager provides output to Filter
B2c;B2c The system grinds the set amount with the set grinding degree directly into the filter;SetAmountManager;Controller;<<controller>>;Manages grind function;;;;SetAmount;provide;SetAmountManager provides SetAmount as result
B2c;B2c The system grinds the set amount with the set grinding degree directly into the filter;SetAmount;Entity;<<entity>>;Domain entity: setamount;;;;;;
B2c;B2c The system grinds the set amount with the set grinding degree directly into the filter;SetGrindingDegree;Entity;<<entity>>;Domain entity: setgrindingdegree;;;;;;
B2c;B2c The system grinds the set amount with the set grinding degree directly into the filter;Filter;Entity;<<entity>>;Domain entity: filter;;;;;;
B2d;B2d The system retrieves cup from storage container and places it under the filter;CupManager;Controller;<<controller>>;Manages retrieve function;SetAmountManager;sequential;Rule 2;;;
B2d;B2d The system retrieves cup from storage container and places it under the filter;CupManager;Controller;<<controller>>;Manages retrieve function;;;;Cup;provide;CupManager provides Cup as result
B2d;B2d The system retrieves cup from storage container and places it under the filter;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
B2d;B2d The system retrieves cup from storage container and places it under the filter;StorageContainer;Entity;<<entity>>;Domain entity: storagecontainer;;;;;;
P1_END;Parallel flow merge for B2a;P1_END;ControlFlowNode;<<merge>>;Merge node for parallel steps B2a;;;;;;
P2_START;Parallel flow distribution for B3a;P2_START;ControlFlowNode;<<distribution>>;Distribution node for parallel steps B3a;;;;;;
B3a;B3a The system begins brewing coffee with the set water amount into the cup;CoffeeManager;Controller;<<controller>>;Manages brew function;CupManager;parallel_start;Rule 4 - Parallel Flow;;;
B3a;B3a The system begins brewing coffee with the set water amount into the cup;CoffeeManager;Controller;<<controller>>;Manages brew function;;;;Coffee;provide;CoffeeManager provides Coffee as result
B3a;B3a The system begins brewing coffee with the set water amount into the cup;Coffee;Entity;<<entity>>;Domain entity: coffee;;;;;;
B3a;B3a The system begins brewing coffee with the set water amount into the cup;SetWaterAmount;Entity;<<entity>>;Domain entity: setwateramount;;;;;;
B3b;B3b The system adds milk to the cup;MilkManager;Controller;<<controller>>;Manages add function;CoffeeManager;sequential;Rule 2;;;
B3b;B3b The system adds milk to the cup;MilkManager;Controller;<<controller>>;Manages add function;;;;Cup;provide;MilkManager provides output to Cup
B3b;B3b The system adds milk to the cup;MilkManager;Controller;<<controller>>;Manages add function;;;;Milk;provide;MilkManager provides Milk as result
B3b;B3b The system adds milk to the cup;Milk;Entity;<<entity>>;Precondition entity: milk;;;;;;
B3b;B3b The system adds milk to the cup;Cup;Entity;<<entity>>;Domain entity: cup;;;;;;
P2_END;Parallel flow merge for B3a;P2_END;ControlFlowNode;<<merge>>;Merge node for parallel steps B3a;;;;;;
